id,title,description,required_skills,preferred_skills,category,location,state,organization,education_requirement
1,Software Developer Intern,"Develop web applications using Java and Spring Boot","['Java', 'Spring Boot', 'SQL']","['Git', 'Docker']",IT,Bhubaneswar,Odisha,Tech Solutions Ltd.,B.Tech
2,Data Science Intern,"Work on machine learning projects","['Python', 'Machine Learning']","['TensorFlow', 'SQL']",IT,Remote,,Data Insights Inc.,B.Tech
3,Marketing Intern,"Create digital marketing campaigns","['Communication', 'Social Media']","['SEO', 'Content Writing']",Marketing,Cuttack,Odisha,Creative Minds Agency,B.A
4,Frontend Developer Intern,"Assist in building UI with React and CSS","['HTML', 'CSS', 'React']","['Figma', 'JavaScript']",IT,Bangalore,Karnataka,CodeCraft Pvt. Ltd.,B.Tech
5,Research Assistant,"Support research in biotechnology","['Biology', 'Lab Techniques']","['Data Analysis']","Research",Chennai,Tamil Nadu,BioTech Labs,B.Sc
6,Finance Intern,"Assist in financial analysis and reporting","['Excel', 'Accounting']","['Power BI', 'SQL']",Finance,Mumbai,Maharashtra,FinServe Ltd.,MBA
7,Content Writer Intern,"Write blogs and social media posts","['Writing', 'Creativity']","['SEO', 'Editing']",Marketing,Delhi,Delhi,WordWorks,B.A
8,Full-Stack Developer Intern,"Support backend and frontend tasks","['Node.js', 'React', 'MongoDB']","['AWS', 'Docker']",IT,Pune,Maharashtra,Innovatech,B.Tech
9,HR Intern,"Assist in recruitment and training","['Communication', 'Recruitment']","['Excel', 'Public Speaking']",HR,Kolkata,West Bengal,PeopleFirst,B.A
10,Embedded Systems Intern,"Work on IoT devices and C programming","['C', 'Microcontrollers']","['Arduino', 'Raspberry Pi']",Electronics,Hyderabad,Telangana,CircuitWave,B.Tech
11,UI/UX Designer Intern,"Design user-friendly web interfaces","['UI Design', 'Wireframing']","['Adobe XD', 'Figma']",Design,Bangalore,Karnataka,DesignNest,B.Des
12,Cybersecurity Intern,"Monitor and test system vulnerabilities","['Networking', 'Linux']","['Python', 'Penetration Testing']",IT,Delhi,Delhi,CyberSafe,B.Tech
13,Operations Intern,"Assist operations team in logistics","['Excel', 'Communication']","['Project Management']",Management,Chennai,Tamil Nadu,LogiCorp,MBA
14,Graphic Designer Intern,"Design visuals for marketing campaigns","['Photoshop', 'Illustrator']","['Canva', 'Creativity']",Design,Mumbai,Maharashtra,Pixel Studios,B.A
15,AI Intern,"Support AI model training and evaluation","['Python', 'TensorFlow']","['PyTorch', 'NLP']",IT,Bhubaneswar,Odisha,NextGen AI,B.Tech
16,Journalism Intern,"Assist in research and reporting","['Writing', 'Interviewing']","['Photography']",Media,Kolkata,West Bengal,DailyNews,B.A
17,Mechanical Engineering Intern,"Work on CAD designs and simulations","['AutoCAD', 'SolidWorks']","['Matlab']",Engineering,Pune,Maharashtra,MechaWorks,B.Tech
18,Teaching Assistant,"Support professors in coursework","['Subject Knowledge', 'Communication']","['Mentoring']",Education,Delhi,Delhi,Global Academy,B.Sc
19,Cloud Intern,"Deploy applications on AWS cloud","['AWS', 'Linux']","['Docker', 'Kubernetes']",IT,Bangalore,Karnataka,CloudHub,B.Tech
20,Legal Intern,"Assist in drafting and legal research","['Law', 'Research']","['Communication']",Legal,Chennai,Tamil Nadu,Lex & Co.,LLB

21,Backend Developer Intern,"Build and maintain server-side logic using Python and Django","['Python', 'Django', 'REST APIs']","['PostgreSQL', 'Git']",IT,Hyderabad,Telangana,Backend Brigade,B.Tech
22,Digital Marketing Intern,"Manage and optimize Google Ads and social media campaigns","['Google Analytics', 'Social Media Marketing']","['Content Creation', 'Data Analysis']",Marketing,Mumbai,Maharashtra,AdBuzz Media,BBA
23,DevOps Intern,"Implement CI/CD pipelines and assist in infrastructure automation","['Linux', 'Git', 'Scripting']","['Jenkins', 'AWS']",IT,Bangalore,Karnataka,FlowState DevOps,B.Tech
24,Biomedical Research Intern,"Conduct experiments and analyze data for medical device testing","['Biology', 'Data Recording']","['Statistics', 'Lab Safety']",Research,Chennai,Tamil Nadu,MediTech Innovations,B.Sc
25,Investment Analyst Intern,"Research market trends and assist in building financial models","['Excel', 'Financial Modeling']","['Bloomberg Terminal', 'VBA']",Finance,Delhi,Delhi,CapitalGrow Ltd.,B.Com
26,Video Editor Intern,"Edit and produce video content for social media and YouTube","['Video Editing', 'Adobe Premiere Pro']","['After Effects', 'Storytelling']",Media,Bhubaneswar,Odisha,Visual Stories,B.A
27,Android Developer Intern,"Develop and test new features for Android mobile applications","['Kotlin', 'Android SDK']","['Java', 'REST APIs']",IT,Pune,Maharashtra,AppVenture,B.Tech
28,Public Relations Intern,"Draft press releases and assist with media outreach","['Writing', 'Communication']","['Social Media', 'Event Planning']",Marketing,Kolkata,West Bengal,ConnectPR,B.A
29,Supply Chain Intern,"Analyze logistics data and help optimize inventory management","['Excel', 'Analytical Skills']","['SQL', 'ERP Software']",Management,Chennai,Tamil Nadu,SupplyChain Pro,MBA
30,Game Development Intern,"Assist in developing game mechanics and levels using Unity","['C#', 'Unity']","['Game Design', '3D Modeling']",IT,Remote,,NextGen Games,B.Tech
31,Environmental Science Intern,"Conduct field research and analyze environmental samples","['Environmental Science', 'Data Collection']","['GIS', 'Report Writing']",Research,Dehradun,Uttarakhand,GreenEarth Consultants,B.Sc
32,Product Management Intern,"Conduct user research and help define product requirements","['Analytical Thinking', 'Communication']","['SQL', 'Figma']",Management,Bangalore,Karnataka,ProductLabs,B.Tech
33,Technical Writer Intern,"Create user manuals, API documentation, and tutorials","['Technical Writing', 'Clarity']","['Markdown', 'Basic Programming']",IT,Hyderabad,Telangana,DocuTech Inc.,B.Tech
34,Social Media Intern,"Create and schedule engaging content across social platforms","['Content Creation', 'Social Media Platforms']","['Analytics', 'Adobe Creative Suite']",Marketing,Mumbai,Maharashtra,BrandBuzz,B.A
35,Network Engineering Intern,"Assist in maintaining and troubleshooting network infrastructure","['Networking Fundamentals', 'TCP/IP']","['Cisco CLI', 'Wireshark']",IT,Noida,Uttar Pradesh,NetSolutions India,B.Tech
36,Market Research Intern,"Conduct surveys and analyze consumer data to identify trends","['Data Analysis', 'Excel']","['SPSS', 'Survey Tools']",Marketing,Delhi,Delhi,Insight Partners,BBA
37,iOS Developer Intern,"Help develop and test features for iOS applications","['Swift', 'Xcode']","['UIKit', 'REST APIs']",IT,Chennai,Tamil Nadu,iVision Mobile,B.Tech
38,Architecture Intern,"Assist in creating architectural drawings and 3D models","['AutoCAD', '3D Modeling']","['SketchUp', 'Revit']",Design,Ahmedabad,Gujarat,Design Collective,B.Arch
39,Finance & Analytics Intern,"Build dashboards to visualize financial performance metrics","['Excel', 'Data Visualization']","['Power BI', 'SQL']",Finance,Gurgaon,Haryana,Numero Analytics,B.Com
40,Agri-Tech Intern,"Work on IoT-based solutions for precision agriculture","['IoT', 'Python']","['Arduino', 'Data Analysis']",Technology,Nagpur,Maharashtra,AgriGrow Tech,B.Tech
41,Content Marketing Intern,"Develop SEO-friendly blog posts and website content","['Content Writing', 'SEO']","['WordPress', 'Keyword Research']",Marketing,Jaipur,Rajasthan,Content Kings,B.A
42,QA/Testing Intern,"Perform manual and automated testing on web applications","['Testing Methodologies', 'Attention to Detail']","['Selenium', 'Java']",IT,Pune,Maharashtra,QualityQuest,B.Tech
43,Photography Intern,"Capture and edit photos for events and marketing materials","['Photography', 'Photo Editing']","['Lightroom', 'Creativity']",Media,Goa,,Sunset Studios,B.A
44,Business Development Intern,"Identify new sales leads and potential business opportunities","['Communication', 'Research']","['CRM Software', 'Presentation Skills']",Sales,Bangalore,Karnataka,SalesForce Partners,BBA
45,Blockchain Developer Intern,"Contribute to the development of smart contracts and DApps","['Solidity', 'Blockchain Basics']","['JavaScript', 'Truffle']",IT,Hyderabad,Telangana,ChainReact Labs,B.Tech
46,Event Management Intern,"Assist in planning and executing corporate and client events","['Organization', 'Communication']","['Vendor Management', 'Negotiation']",Management,Mumbai,Maharashtra,Elite Events,B.A
47,Material Science Intern,"Test and analyze properties of new materials in a lab setting","['Material Science', 'Lab Techniques']","['Data Analysis', 'Report Writing']",Research,Kanpur,Uttar Pradesh,InnoMaterials,B.Tech
48,Customer Support Intern,"Handle customer queries and provide product support via chat/email","['Communication', 'Problem Solving']","['Zendesk', 'Patience']",Support,Remote,,SupportHero Inc.,Any Graduate
49,Data Analyst Intern,"Clean, process, and visualize data to extract insights","['Excel', 'SQL']","['Python', 'Tableau']",IT,Chennai,Tamil Nadu,DataCrunchers Pvt. Ltd.,B.Tech
50,Human Resources Analytics Intern,"Analyze HR data related to recruitment and employee engagement","['Excel', 'Analytical Skills']","['HRIS', 'Power BI']",HR,Delhi,Delhi,TalentMetrics,MBA
51,UX Research Intern,"Conduct user interviews and usability tests to gather feedback","['User Research', 'Empathy']","['Survey Design', 'Figma']",Design,Bangalore,Karnataka,UserFirst Design,B.Des
